"B1","B2","B3","Bp/Bt","Points:0","Points:1","Points:2","arc_length","p_1","p_2","psi","rho_1","rho_2","v1_1","v1_2","v2_1","v2_2","v3_1","v3_2","vtkValidPointMask"
0.047682,0.028417,0.09506,0.032413,-0.922,0,0,0.078,0.35156,0.4093,0.00018505,0.54883,0.55108,-0.079379,-0.07733,0.035394,0.037523,-0.0011179,-0.00063767,1
0.04719,0.027315,0.095178,0.031236,-0.921,0,0,0.079,0.35128,0.40908,0.00027361,0.54811,0.55072,-0.078808,-0.07687,0.038747,0.04039,-0.0014291,-0.00077061,1
0.04719,0.027315,0.095178,0.031236,-0.92,0,0,0.08,0.35128,0.40908,0.00027361,0.54811,0.55072,-0.078808,-0.07687,0.038747,0.04039,-0.0014291,-0.00077061,1
0.046007,0.027404,0.095471,0.030037,-0.919,0,0,0.081,0.35101,0.40885,6.2883e-05,0.549,0.55066,-0.078433,-0.076471,0.04209,0.043179,-0.0017936,-0.0008511,1
0.046007,0.027404,0.095471,0.030037,-0.918,0,0,0.082,0.35101,0.40885,6.2883e-05,0.549,0.55066,-0.078433,-0.076471,0.04209,0.043179,-0.0017936,-0.0008511,1
0.04471,0.026945,0.09549,0.028537,-0.917,0,0,0.083,0.35083,0.40866,-1.2189e-05,0.54896,0.55046,-0.078038,-0.076082,0.044737,0.045689,-0.0018928,-0.00086254,1
0.043389,0.026166,0.095334,0.026929,-0.916,0,0,0.084,0.3507,0.4085,-4.9637e-06,0.54843,0.5502,-0.077675,-0.075733,0.046934,0.048032,-0.0018094,-0.00082482,1
0.043389,0.026166,0.095334,0.026929,-0.915,0,0,0.085,0.3507,0.4085,-4.9637e-06,0.54843,0.5502,-0.077675,-0.075733,0.046934,0.048032,-0.0018094,-0.00082482,1
0.04213,0.025299,0.095109,0.025392,-0.914,0,0,0.086,0.3506,0.40834,3.12e-05,0.54783,0.54993,-0.07739,-0.075459,0.048925,0.050318,-0.0016262,-0.00075782,1
0.04213,0.025299,0.095109,0.025392,-0.913,0,0,0.087,0.3506,0.40834,3.12e-05,0.54783,0.54993,-0.07739,-0.075459,0.048925,0.050318,-0.0016262,-0.00075782,1
0.041025,0.024574,0.094917,0.024094,-0.912,0,0,0.088,0.35048,0.40818,4.2945e-05,0.5476,0.54975,-0.077234,-0.075291,0.050953,0.052658,-0.001426,-0.00068145,1
0.041025,0.024574,0.094917,0.024094,-0.911,0,0,0.089,0.35048,0.40818,4.2945e-05,0.5476,0.54975,-0.077234,-0.075291,0.050953,0.052658,-0.001426,-0.00068145,1
0.04016,0.024221,0.09486,0.023187,-0.91,0,0,0.09,0.35032,0.408,-2.3086e-05,0.54819,0.5497,-0.077255,-0.075261,0.053263,0.055162,-0.0012917,-0.0006156,1
0.04016,0.024221,0.09486,0.023187,-0.909,0,0,0.091,0.35032,0.408,-2.3086e-05,0.54819,0.5497,-0.077255,-0.075261,0.053263,0.055162,-0.0012917,-0.0006156,1
0.039626,0.02447,0.095041,0.022822,-0.908,0,0,0.092,0.35009,0.40778,-0.00022025,0.55002,0.54988,-0.077502,-0.075404,0.0561,0.057942,-0.001306,-0.00058015,1
0.039626,0.02447,0.095041,0.022822,-0.907,0,0,0.093,0.35009,0.40778,-0.00022025,0.55002,0.54988,-0.077502,-0.075404,0.0561,0.057942,-0.001306,-0.00058015,1
0.039071,0.023802,0.095265,0.021971,-0.906,0,0,0.094,0.34987,0.40755,-0.00014458,0.55007,0.54976,-0.078005,-0.075715,0.058986,0.060731,-0.0013919,-0.00062407,1
0.039071,0.023802,0.095265,0.021971,-0.905,0,0,0.095,0.34987,0.40755,-0.00014458,0.55007,0.54976,-0.078005,-0.075715,0.058986,0.060731,-0.0013919,-0.00062407,1
0.03854,0.022249,0.095308,0.020778,-0.904,0,0,0.096,0.3496,0.4073,-0.00016168,0.54842,0.54932,-0.078176,-0.075819,0.061668,0.063433,-0.0013884,-0.00067038,1
0.03854,0.022249,0.095308,0.020778,-0.903,0,0,0.097,0.3496,0.4073,-0.00016168,0.54842,0.54932,-0.078176,-0.075819,0.061668,0.063433,-0.0013884,-0.00067038,1
0.0381,0.021,0.095339,0.019851,-0.902,0,0,0.098,0.34935,0.40705,-0.00014193,0.54764,0.549,-0.077989,-0.075703,0.064429,0.066193,-0.0013909,-0.00069235,1
0.0381,0.021,0.095339,0.019851,-0.901,0,0,0.099,0.34935,0.40705,-0.00014193,0.54764,0.549,-0.077989,-0.075703,0.064429,0.066193,-0.0013909,-0.00069235,1
0.037703,0.019996,0.095344,0.019103,-0.9,0,0,0.1,0.3491,0.40681,-0.00010102,0.54744,0.54875,-0.077547,-0.075423,0.067241,0.06899,-0.0013975,-0.0006976,1
0.037703,0.019996,0.095344,0.019103,-0.899,0,0,0.101,0.3491,0.40681,-0.00010102,0.54744,0.54875,-0.077547,-0.075423,0.067241,0.06899,-0.0013975,-0.0006976,1
0.037301,0.019173,0.095307,0.018456,-0.898,0,0,0.102,0.34887,0.40656,-5.4636e-05,0.54752,0.54854,-0.076951,-0.075035,0.070077,0.071804,-0.0014061,-0.00069379,1
0.037301,0.019173,0.095307,0.018456,-0.897,0,0,0.103,0.34887,0.40656,-5.4636e-05,0.54752,0.54854,-0.076951,-0.075035,0.070077,0.071804,-0.0014061,-0.00069379,1
0.036844,0.018473,0.095213,0.017841,-0.896,0,0,0.104,0.34863,0.40631,-1.8468e-05,0.54758,0.54833,-0.076302,-0.074597,0.072912,0.074611,-0.0014149,-0.00068854,1
0.036844,0.018473,0.095213,0.017841,-0.895,0,0,0.105,0.34863,0.40631,-1.8468e-05,0.54758,0.54833,-0.076302,-0.074597,0.072912,0.074611,-0.0014149,-0.00068854,1
0.036284,0.017834,0.095048,0.017198,-0.894,0,0,0.106,0.34838,0.40605,-8.203e-06,0.54732,0.54806,-0.075702,-0.074164,0.075719,0.077393,-0.0014218,-0.0006895,1
0.036284,0.017834,0.095048,0.017198,-0.893,0,0,0.107,0.34838,0.40605,-8.203e-06,0.54732,0.54806,-0.075702,-0.074164,0.075719,0.077393,-0.0014218,-0.0006895,1
0.035573,0.017196,0.094796,0.016468,-0.892,0,0,0.108,0.34813,0.40579,-3.953e-05,0.54646,0.54769,-0.075252,-0.073792,0.078472,0.080126,-0.0014249,-0.0007043,1
0.035573,0.017196,0.094796,0.016468,-0.891,0,0,0.109,0.34813,0.40579,-3.953e-05,0.54646,0.54769,-0.075252,-0.073792,0.078472,0.080126,-0.0014249,-0.0007043,1
0.034683,0.016336,0.094707,0.015519,-0.89,0,0,0.11,0.34789,0.40554,-5.8025e-05,0.5461,0.54743,-0.075092,-0.073555,0.081173,0.082862,-0.0014574,-0.00072895,1
0.034683,0.016336,0.094707,0.015519,-0.889,0,0,0.111,0.34789,0.40554,-5.8025e-05,0.5461,0.54743,-0.075092,-0.073555,0.081173,0.082862,-0.0014574,-0.00072895,1
0.033962,0.015471,0.094757,0.014699,-0.888,0,0,0.112,0.34766,0.40528,2.1277e-05,0.54641,0.54728,-0.074907,-0.073338,0.083979,0.085691,-0.0015178,-0.00074449,1
0.033962,0.015471,0.094757,0.014699,-0.887,0,0,0.113,0.34766,0.40528,2.1277e-05,0.54641,0.54728,-0.074907,-0.073338,0.083979,0.085691,-0.0015178,-0.00074449,1
0.033257,0.014721,0.09474,0.013962,-0.886,0,0,0.114,0.3474,0.40501,4.2756e-05,0.54637,0.54705,-0.074795,-0.073177,0.086892,0.088575,-0.001548,-0.00074343,1
0.033257,0.014721,0.09474,0.013962,-0.885,0,0,0.115,0.3474,0.40501,4.2756e-05,0.54637,0.54705,-0.074795,-0.073177,0.086892,0.088575,-0.001548,-0.00074343,1
0.032565,0.014038,0.09468,0.013282,-0.884,0,0,0.116,0.34713,0.40473,2.7511e-05,0.54607,0.54678,-0.074726,-0.07305,0.089875,0.091501,-0.0015497,-0.00073148,1
0.032565,0.014038,0.09468,0.013282,-0.883,0,0,0.117,0.34713,0.40473,2.7511e-05,0.54607,0.54678,-0.074726,-0.07305,0.089875,0.091501,-0.0015497,-0.00073148,1
0.031885,0.013373,0.094598,0.012637,-0.882,0,0,0.118,0.34683,0.40443,-3.3606e-06,0.54561,0.54646,-0.074672,-0.072936,0.092895,0.094458,-0.0015244,-0.00071438,1
0.031885,0.013373,0.094598,0.012637,-0.881,0,0,0.119,0.34683,0.40443,-3.3606e-06,0.54561,0.54646,-0.074672,-0.072936,0.092895,0.094458,-0.0015244,-0.00071438,1
0.031215,0.012676,0.094518,0.012009,-0.88,0,0,0.12,0.34653,0.40413,-2.876e-05,0.54506,0.54612,-0.074603,-0.072813,0.095914,0.097433,-0.0014735,-0.00069786,1
0.031215,0.012676,0.094518,0.012009,-0.879,0,0,0.121,0.34653,0.40413,-2.876e-05,0.54506,0.54612,-0.074603,-0.072813,0.095914,0.097433,-0.0014735,-0.00069786,1
0.030555,0.0119,0.094461,0.011382,-0.878,0,0,0.122,0.34622,0.40382,-2.7589e-05,0.54451,0.54578,-0.07449,-0.07266,0.0989,0.10041,-0.0013987,-0.00068766,1
